display_name,simplified_summary
Condensed matter physics,"Condensed matter physics investigates the physical properties and behaviors of matter in solid and liquid states, including exotic phases, using principles from quantum mechanics, electromagnetism, and statistical mechanics, intersecting with multiple scientific disciplines."
Theology,"Theology is the study of religious beliefs, divinity, and revelation from a religious perspective, using various analyses to understand, critique, or promote religious topics and traditions, often taught in academic institutions."
Speech recognition,"Speech recognition, or speech-to-text, is a computer science subfield that converts spoken language into text, leveraging deep learning and big data for applications in voice dialing, document preparation, and security."
Applied mathematics,"Applied mathematics applies mathematical methods to solve practical problems in fields such as physics, engineering, and medicine, integrating specialized knowledge and often inspiring research in pure mathematics."
Gynecology,"Gynecology is the medical field specializing in women's diseases, particularly of the reproductive organs, often combined with obstetrics and contrasting with andrology, which focuses on male reproductive health."
Media studies,"Media studies is an interdisciplinary field analyzing the content, history, and impacts of mass media using theories and methods from mass communication, communication sciences, and various other disciplines."
Orthodontics,"Orthodontics, a dentistry specialty, corrects misaligned teeth and jaws using braces, appliances, or surgery, often starting pre-adulthood for easier bone adjustment, and aims to improve patients' quality of life despite inconclusive health benefits."
Nuclear medicine,"Nuclear medicine, or nucleology, uses radioactive substances to diagnose and treat diseases by focusing on body function rather than anatomy, commonly employing SPECT and PET scans to record internal radiation."
Computational physics,"Computational physics, a subset of computational science, employs numerical analysis to solve physics problems, bridging theoretical and experimental physics, and was the first scientific application of modern computers."
Quantum electrodynamics,"Quantum electrodynamics (QED) is a particle physics theory that explains light-matter interactions, integrating quantum mechanics and special relativity, and is the most rigorously tested theory for predicting phenomena involving charged particles and photons."
Public administration,"Public administration is the management of public programs and the study of public policy creation and implementation, focusing on government decision-making, policy processes, and public institutions, rooted in Weber's bureaucracy theory and New Public Administration."
Computer network,"A computer network is a system of interconnected computers sharing resources and communication protocols through various connections, supporting applications like web access, digital media, and messaging."
Food science,"Food science, or bromatology, combines chemistry, physics, and biochemistry to study food safety, processing, and nutrition, informing food technology and involving product development, production design, packaging, shelf-life studies, and various testing methods."
Computer vision,"Computer vision is the field of transforming digital images into actionable information using models from geometry, physics, statistics, and learning theory, encompassing sub-domains like object detection, motion estimation, and image restoration."
Toxicology,"Toxicology is the scientific study of harmful effects of chemicals on living beings, considering factors like dosage, exposure, and individual characteristics, and it contributes to areas such as cancer research and evidence-based medical practices."
Theoretical physics,"Theoretical physics employs mathematical models to explain natural phenomena, prioritizing mathematical rigor over experiments, and complements experimental physics, as exemplified by Einstein's contributions to special relativity and the photoelectric effect."
Mathematics,"Mathematics is a field that uses abstract objects and deductive rules to organize methods, theories, and theorems across various areas, finding applications in sciences, engineering, and finance, and has evolved significantly since Greek mathematics."
Market economy,"A market economy is an economic system where supply and demand dictate investment, production, and distribution, contrasting with planned economies driven by centralized planning."
Social science,"Social science studies societies and their relationships through disciplines like anthropology, economics, geography, and political science, using natural science methods and social critique to achieve shared academic goals."
Agricultural science,"Agricultural science, or agriscience, integrates biology, exact, natural, economic, and social sciences to study and practice agriculture, with experts in the field called agricultural scientists or agriculturists."
Mathematical physics,"Mathematical physics involves using and developing mathematical methods to solve physics problems and formulate theories, also encompassing mathematics inspired by physics, known as physical mathematics."
Computer security,"Computer security protects software, systems, and networks from unauthorized access, theft, or damage, crucial due to technological reliance and IoT, while also emphasizing the ongoing relevance of physical security measures."
Environmental science,"Environmental science is an interdisciplinary field combining natural and social sciences, as well as engineering, to study and address environmental issues such as pollution, global warming, and resource management."
Public relations,"Public relations (PR) is the strategic management of information and communication to shape public perception and cultivate a positive image for an individual or organization, distinct from advertising through its internally controlled, often unpaid media exposure efforts."
Industrial organization,"Industrial organization in economics examines firm and market structures, incorporating transaction costs, barriers to entry, and uses models and policy analysis, including game theory, to understand and influence firm behavior and market strategy."
Computer science,"Computer science is the study of computation, information, and automation, encompassing theoretical and applied disciplines like algorithms, software design, cryptography, and artificial intelligence, with the Turing Award as its highest honor."
Linguistics,"Linguistics is the scientific study of language, encompassing its structure, meaning, and usage, with theoretical and applied branches, and intersecting with fields such as philosophy, semiotics, and translation."
Molecular physics,"Molecular physics studies the physical properties, dynamics, and structures of molecules, utilizing classical and quantum mechanics, and techniques like spectroscopy and scattering, intersecting with physical chemistry, chemical physics, and quantum chemistry."
Anesthesia,"Anesthesia is a medically induced temporary state of pain relief, muscle relaxation, memory loss, and possibly unconsciousness, tailored to the patient's health and procedure complexity, and categorized into general, sedation, regional, and local types."
Chemical engineering,"Chemical engineering involves designing and optimizing chemical plants and processes to convert raw materials into valuable products, utilizing principles from sciences and economics, and ensuring efficient energy and material management."
Physiology,"Physiology is the scientific study of the functions and mechanisms in living systems, encompassing organisms, organ systems, cells, and biomolecules, and includes fields like medical, animal, plant, cell, and comparative physiology."
Operations research,"Operations research (OR) is a discipline that employs analytical methods like modeling, statistics, and optimization to enhance decision-making across various industries, aiming for maximum profit or minimum loss."
Demographic economics,"Demographic economics uses economic analysis to study human populations' size, growth, distribution, and related aspects like marriage, fertility, migration, and public policy, complementing labor economics and addressing various societal issues."
Veterinary medicine,"Veterinary medicine encompasses the prevention, diagnosis, and treatment of animal diseases, while promoting animal welfare and contributing to human health through zoonotic disease control, food safety, and medical research."
Chromatography,"Chromatography is a laboratory technique for separating a mixture's components based on their different affinities for a stationary phase versus a mobile phase, used for purification or chemical analysis."
Simulation,"A simulation is an imitative representation of a real-world process or system, often using models and computers, to explore outcomes and effects in technology, safety, training, and scientific modeling."
Astrophysics,"Astrophysics is the scientific study of the physical and chemical properties of astronomical objects and phenomena, including stars, galaxies, and cosmic structures, focusing on their nature rather than their positions."
Socioeconomics,"Socioeconomics is the study of how economic activity affects and is shaped by social processes, examining both individual and systemic economic behaviors and their impact on society."
Computational science,"Computational science leverages advanced computing, including simulations and numerical analysis, to solve complex physical problems, necessitating research in algorithms, hardware, and infrastructure, and often using supercomputers."
Nuclear magnetic resonance,"Nuclear magnetic resonance (NMR) is a phenomenon where nuclei in a strong magnetic field emit an electromagnetic signal when disturbed by a weaker oscillating field, aiding in medical imaging and molecular structure analysis."
Communication,"Communication is the transmission of information, either verbal or non-verbal, between entities, studied through coding systems and influenced by technological advancements such as writing, printing, radio, television, and the internet."
Development economics,"Development economics studies economic growth and living conditions in low- and middle-income countries, using quantitative and qualitative methods to inform policies, considering social and political factors, and covering topics like growth theory, poverty, inequality, human capital, and institutions."
Agricultural economics,"Agricultural economics is a branch of economics that optimizes food and fiber production and distribution, impacting food, agricultural, and environmental policies by integrating crop yield, soil health, and broader economic areas."
Optoelectronics,"Optoelectronics is a photonics subfield focused on electronic systems interacting with light, including gamma and X-rays, using devices like photodiodes and LEDs, with key applications in optocouplers and optical fiber communications."
Climatology,"Climatology is the scientific study of Earth's climate, involving the analysis, modeling, and understanding of long-term weather patterns, climate variability, and change mechanisms, typically over periods of at least 30 years."
Multimedia,"Multimedia integrates text, audio, images, video, and interactive elements on a single digital platform to enhance user experience, applicable across various fields and playable on multiple devices."
Cancer research,"Cancer research aims to identify cancer causes and develop prevention, diagnosis, and treatment strategies, including surgery, radiation, chemotherapy, hormone therapy, immunotherapy, and gene therapy, conducted in academic, research, and corporate settings."
Economic growth,"Economic growth is the annual percent change in inflation-adjusted GDP, indicating improvements in the market value of goods and services produced by an economy through more efficient input use, increased inputs, or new goods and services."
Fishery,"A fishery is the commercial or site-specific raising and harvesting of aquatic life, crucial for 500 million people, and requires complex management to address overfishing, pollution, and climate change challenges."
Medical education,"Medical education encompasses the initial and continuous training of medical practitioners, utilizing various global methodologies and specific requirements like entrustable professional activities to ensure progression at all educational levels."
Family medicine,"Family medicine is a primary care specialty providing comprehensive, holistic health care for individuals and families of all ages, focusing on disease prevention and health promotion within a community context, with specific training since the 1950s."
Art history,"Art history is the study of diverse art forms and visual culture across different periods and cultures, focusing on historical contexts to understand artists' works and their impact, distinct from art criticism, theory, and philosophy."
Water resource management,"Water resource management involves the strategic planning and control of natural and artificial freshwater supplies to address challenges such as scarcity, pollution, conflict, climate change, and global groundwater depletion."
Environmental protection,"Environmental protection involves collaborative efforts by individuals, groups, and governments to conserve natural resources and repair environmental damage, driven by increased awareness and regulatory measures since the 1960s."
Pulp and paper industry,"The pulp and paper industry processes pulpwood to create pulp, paper, and cellulose products by shaping pulp into paper and removing water through pressing and steam-heated drying methods."
Genealogy,"Genealogy is the study of family history and lineage using methods such as oral interviews, historical records, and genetic analysis, often resulting in charts or narratives like family trees, and encompassing traditions and biographies."
Management science,"Management science is an interdisciplinary field that uses scientific research, mathematical modeling, statistics, and algorithms to solve complex problems, optimize systems, and improve decision-making in organizations."
Psychotherapist,A psychotherapist is a mental health professional who uses psychological methods and personal interaction to improve mental health and resolve behavioral issues through various techniques for individuals or groups.
Agroforestry,"Agroforestry is a land management system that integrates trees with crops or pasture, providing economic, environmental, and social benefits like improved productivity, reduced soil erosion, increased biodiversity, and carbon sequestration."
Genetics,"Genetics is the scientific study of genes, heredity, and their interaction with the environment to influence organism development and behavior, first explored by Gregor Mendel in the 19th century."
Medical emergency,"A medical emergency is a severe injury or illness that threatens life or long-term health, necessitating immediate aid from qualified individuals, with the response varying by severity, location, patient, and available resources."
Commerce,"Commerce is an organized system for distributing goods and services from producers to consumers, involving trade, banking, transportation, and advertising, and shaped by laws, consumer trends, supply chains, and technological innovation."
Waste management,"Waste management involves the collection, transportation, treatment, and regulation of waste to minimize its impact on human health and the environment, following the '7R' principle: refuse, reduce, reuse, repair, repurpose, recycle, and recover."
Audiology,"Audiology is the science of studying hearing, balance, and related disorders, where audiologists diagnose and treat hearing issues from birth to end-of-life using various tests and providing interventions and rehabilitation."
Welfare economics,"Welfare economics employs microeconomic methods to evaluate societal well-being, guiding public economics and cost-benefit analysis, and includes principles on competitive markets, Pareto efficiency, and a social welfare function for ranking resource allocations."
Biochemistry,"Biochemistry, a sub-discipline of chemistry and biology, examines chemical processes in living organisms, focusing on structural biology, enzymology, and metabolism to understand biological molecules' structures, functions, and roles in cellular processes and energy utilization."
Engineering ethics,"Engineering ethics is the study of moral principles guiding engineers' responsibilities to society, clients, and their profession, originating in the 19th century with the professionalization of engineering and its ties to science and technology philosophy."
Traditional medicine,"Traditional medicine, as per the WHO, involves indigenous health practices and knowledge used for primary care by up to 80% of people in some Asian and African countries, though it requires more research for efficacy and safety."
Monetary economics,"Monetary economics examines money's theories, functions, and impacts on monetary systems, including regulation and international aspects, while providing microfoundations for money demand and exploring its role as a substitute for other assets."
Knowledge management,"Knowledge management (KM) is a multidisciplinary approach to achieving organizational goals by effectively managing, utilizing, and sharing knowledge, crucial for performance, innovation, and navigating complexities like supply chains and digital transformation."
Mechanics,"Mechanics is a physics field studying the relationship between force, matter, and motion in physical objects, primarily focusing on bodies at rest or moving slower than light speed, excluding quantum phenomena."
Cartography,"Cartography is the study and creation of maps, combining science, aesthetics, and technique to model reality, set agendas, represent terrain, simplify complexity, and support geographic information systems and science."
Petrology,"Petrology, a geology branch, examines rock characteristics and formation conditions, divided into igneous, metamorphic, and sedimentary petrology, with the first two using chemistry and phase diagrams and the latter focusing on sedimentary processes."
Botany,"Botany is a multidisciplinary branch of biology that studies plant life, including their structure, growth, reproduction, biochemistry, diseases, and evolution, with applications in agriculture, horticulture, forestry, environmental management, and biodiversity conservation."
Bioinformatics,"Bioinformatics is an interdisciplinary science that uses computational and statistical techniques to analyze complex biological data, aiding in tasks like gene identification, proteomics, and modeling biomolecular interactions to understand disease genetics and evolutionary biology."
General surgery,"General surgery is a medical specialty focusing on the digestive system, abdominal organs, skin, breast, soft tissue, hernias, trauma, peripheral artery disease, and includes performing endoscopic procedures like gastroscopy, colonoscopy, and laparoscopy."
Engineering physics,"Engineering physics integrates pure sciences such as physics and mathematics with engineering disciplines, often termed 'Technical physics,' and offers specialized degrees focusing on areas like nuclear engineering and applied sciences."
Quantum mechanics,"Quantum mechanics is a foundational theory explaining atomic and subatomic behavior, describing systems with both particle and wave characteristics, developed to address phenomena unexplained by classical physics."
Remote sensing,"Remote sensing is the non-contact acquisition of information about Earth's or other planets' objects and phenomena using satellite or aircraft sensors, employing both active and passive methods for applications in various fields like Earth sciences and military."
Economic history,"Economic history examines past economic phenomena using statistical and economic methods, analyzing the economy's structure and societal impact, with sub-disciplines like financial history, business history, cliometrics, and the history of capitalism."
Agronomy,"Agronomy is the scientific study and application of plant usage in agriculture, involving research in plant genetics, physiology, soil science, and meteorology, and integrating biology, chemistry, economics, ecology, and earth science."
Structural engineering,"Structural engineering, a civil engineering branch, focuses on designing stable, strong, and earthquake-resistant buildings, collaborating with designers, supervising construction, and sometimes designing machinery or vehicles, using physical laws and material knowledge for efficient resource use."
Clinical psychology,"Clinical psychology is a regulated mental health profession established in 1896, combining scientific principles to understand, assess, and treat psychological distress, with training emphasizing research, theory, and practice, including psychotherapy across four main theoretical orientations."
Computational biology,"Computational biology is a field that employs data analysis, mathematical modeling, and computational simulations to understand biological systems, integrating computer science, biology, big data, applied mathematics, chemistry, and genetics."
Stereochemistry,Stereochemistry is the branch of chemistry that studies the three-dimensional arrangement of atoms in molecules and the effects of different geometric positioning of stereoisomers on their properties and reactivity.
Medicine,"Medicine is the science and practice of diagnosing, treating, and preventing illness through biomedical sciences and technology, blending modern and traditional methods with a focus on patient care."
Financial system,"A financial system enables the exchange of funds among lenders, investors, and borrowers through services, markets, and institutions, using money, credit, and finance for allocation, investment, and risk sharing at national and global levels."
Criminology,"Criminology is the interdisciplinary study of crime and deviant behavior, focusing on the nature, causes, societal reactions, and the functioning of law enforcement and penal institutions."
Economic system,"An economic system is a societal structure for producing, allocating, and distributing goods and services, addressing key economic questions through various models such as market, planned, and mixed economies."
Classical mechanics,"Classical mechanics is a physical theory describing object motion, developed by Newton, Euler, Lagrange, and Hamilton, but it fails with extremely massive objects, high speeds, or atomic scales, requiring quantum mechanics or relativity instead."
Gerontology,"Gerontology, coined by Ilya Ilyich Mechnikov in 1903, is the multidisciplinary study of aging, encompassing social, cultural, psychological, cognitive, and biological aspects, distinct from geriatrics, which focuses on treating diseases in older adults."
Classics,"Classics, or classical studies, explores Greek and Roman literature, languages, and culture, including philosophy, history, and art, forming the foundation of humanities in Western education."
Photochemistry,"Photochemistry is a branch of chemistry that studies the chemical effects of light, enabling high-energy reactions and processes like photosynthesis and vision, but also causing DNA mutations and photodegradation."
Applied psychology,"Applied psychology utilizes scientific psychology methods to solve practical problems in fields like education, business, law, and health, encompassing specializations such as counseling, industrial, and forensic psychology, and treating behavioral disorders."
Telecommunications,"Telecommunications is the rapid transmission of information through various media, including digital technologies like the Internet, facilitating global communication and excluding slower methods such as postal mail."
Database,"A database is an organized collection of data managed by a database management system (DBMS), encompassing design, storage, query languages, security, and classified as relational (SQL) or non-relational (NoSQL)."
Forensic engineering,"Forensic engineering involves investigating failures in various systems and structures to determine causes, improve performance, and assist in legal cases, requiring a state-specific professional license in the US."
Social psychology,"Social psychology scientifically examines how individuals' thoughts, feelings, and behaviors are influenced by the actual, imagined, or implied presence of others, emphasizing the interaction between mental states and social contexts."
Evolutionary biology,"Evolutionary biology is a subfield of biology that examines the processes driving the diversity of life on Earth through generational changes, integrating genetics, ecology, systematics, paleontology, and evolutionary developmental biology."
Mechanical engineering,"Mechanical engineering involves designing, maintaining, and analyzing physical machines using principles of physics, mathematics, and materials science, encompassing areas such as mechanics and thermodynamics, and utilizing tools like CAD, with overlaps in various engineering fields."
Petroleum engineering,"Petroleum engineering is a discipline that focuses on the exploration and production of hydrocarbons in the oil and gas industry's upstream sector, requiring expertise in geophysics, geology, drilling, and related engineering fields."
Real-time computing,"Real-time computing involves systems that must respond to inputs within strict deadlines, crucial for safety-critical applications like aircraft control and anti-lock brakes, ensuring immediate and precise responses."
Crystallography,"Crystallography is the scientific study of molecular and crystalline structures and properties, using techniques like X-ray diffraction, significantly contributing to biology, chemistry, and physics, and recognized by the UN in 2012."
Theoretical computer science,"Theoretical computer science explores the abstract and mathematical foundations of computation, including algorithms, data structures, computational complexity, cryptography, and machine learning, emphasizing mathematical rigor."
Geophysics,"Geophysics is the natural science focusing on Earth's physical properties and processes, including its shape, gravitational and magnetic fields, internal structure, and plate tectonics, and is vital for resource location, hazard mitigation, and environmental protection."
Biology,"Biology is the scientific study of life, encompassing cell structure, genetics, evolution, energy processing, and regulation, and employs the scientific method to explore the diversity of living organisms across various levels and subdisciplines."
Astrobiology,"Astrobiology is the scientific study of life's origins, evolution, and distribution in the universe, focusing on habitable environments, extraterrestrial biosignatures, and Earth's life origins, and has expanded with space exploration advancements."
Environmental engineering,"Environmental engineering applies scientific principles to develop solutions for environmental protection, waste management, pollution control, public health, and the impact of technology on issues like global warming, often requiring professional licensing."
Agricultural engineering,"Agricultural engineering applies engineering principles to enhance farm efficiency and sustainability, involving the design and planning of agricultural projects by engineers with an agriculture background, often in collaboration with agriculturists."
Microbiology,"Microbiology is the scientific study of microorganisms, encompassing unicellular, multicellular, and acellular forms, using molecular biology tools, with sub-disciplines like virology, bacteriology, and parasitology, pioneered by figures like Leeuwenhoek, Pasteur, and Koch."
Zoology,"Zoology is the scientific study of animals, focusing on their structure, classification, behavior, and ecosystems, and includes disciplines like physiology and molecular genetics, with origins tracing back to Aristotle and contributions from Linnaeus and Darwin."
Gastroenterology,"Gastroenterology is the medical specialty that focuses on diagnosing and treating disorders of the digestive system, including the gastrointestinal tract and associated organs like the pancreas, gallbladder, and liver."
Environmental planning,"Environmental planning is a decision-making process for land development that integrates environmental, social, political, economic, and governance factors to create sustainable communities and conserve undeveloped land."
Atmospheric sciences,"Atmospheric sciences encompass the study of Earth's and other planets' atmospheres, focusing on weather, climate, and upper atmospheric processes, utilizing tools like satellites and radars, with foundational contributions from pioneers like Léon Teisserenc de Bort and Richard Assmann."
Computer hardware,"Computer hardware comprises physical components such as the CPU, RAM, motherboard, and peripherals, which operate alongside software to create a functional computing system."
Arithmetic,"Arithmetic, a fundamental branch of mathematics, involves basic operations such as addition, subtraction, multiplication, and division on various number types and numeral systems, and is foundational for advanced subjects and everyday applications."
Environmental ethics,"Environmental ethics, a subfield of environmental philosophy, explores human responsibility towards nature and sustainable resource use, influencing law and ecology, and was shaped by influential works and events like Rachel Carson's writings and Earth Day."
Cell biology,"Cell biology is the branch of biology that examines the structure, function, and behavior of cells, encompassing both prokaryotic and eukaryotic cells, and is fundamental to understanding larger organisms and crucial for biomedical research."
History,"History is the study and documentation of the human past, analyzing events and their causes using various sources, and encompasses prehistory, cultural heritage, and myths."
Forestry,"Forestry is the science and practice of managing forests for human and environmental benefits, including timber production, biodiversity, and ecosystem services, integrating various disciplines and supporting millions of jobs worldwide."
Thermodynamics,"Thermodynamics, a physics branch, examines heat, work, temperature, energy, and entropy relationships, governed by four laws, and applies to fields like engineering and chemistry for understanding processes and improving efficiency."
Pharmacology,"Pharmacology is the scientific study of drugs, including their origins, compositions, interactions, effects, mechanisms, and medical applications, distinct from pharmacy, which applies these principles clinically, encompassing pharmacodynamics and pharmacokinetics."
Environmental health,"Environmental health is a public health branch that examines and controls how natural and built environments impact human health, incorporating environmental science, toxicology, epidemiology, and occupational medicine."
Physical medicine and rehabilitation,"Physical medicine and rehabilitation (PM&R), or physiatry, is a medical field dedicated to enhancing functionality and quality of life for individuals with physical impairments or disabilities through various treatments, including medication management, electrodiagnosis, and targeted injections."
